Enrollment_No,Student_Name,Surname,Gender,Department,Class,Semester,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,CGPA,HackerRank_Score,LeetCode_Problems_Solved,GitHub_Repositories,Projects_Completed,Internship_Completed,Primary_Skill,Secondary_Skill,Preferred_Domain,Preferred_Location,Expected_Salary_LPA,Communication_Skill_Rating
18,Student17,Surname17,Female,CSE,4EK1,8,7.993471090957919,9.899172648587133,9.24707915236055,6.45795055226362,7.591346502008628,9.561638068877315,7.836496093146724,7.5238073800939,59,190,2,2,No,Data Science,Database,Data Science,Hyderabad,6.389984719451574,3
19,Student18,Surname18,Female,AI,4EK2,8,7.675701798018192,8.601302745387748,8.625914429326011,7.535355532179918,9.678124098624199,8.999911193808284,7.213143563397132,6.218261633130796,99,54,11,5,No,Web Dev,Cloud,Data Science,Pune,9.661916757481858,1
20,Student19,Surname19,Male,CSE,4EK2,8,9.6593836042724,6.798169803716581,6.5123829854648,7.824946035822168,9.973020061691855,9.632913954801293,9.730219513677248,8.397844558634866,66,252,14,8,Yes,Data Science,ML,Software Dev,Pune,11.764995180236827,4
21,Student20,Surname20,Female,AI,4EK2,8,7.4495755964665324,8.720912969725166,7.353070023977994,7.476212087043667,6.179645195982463,9.034861284655683,6.474575062966322,9.6096131044427,86,123,16,9,Yes,Data Science,DevOps,Software Dev,Bangalore,9.394517216360969,1
22,Student21,Surname21,Male,IT,4EK2,8,8.322353401112174,6.288793635916703,9.7123345613042,6.484100001940773,9.044031693981568,8.388621223961207,9.73499769200588,7.532861463789007,61,101,6,2,Yes,Data Science,ML,AI,Remote,14.172311915700812,4
23,Student22,Surname22,Female,CSE,4EK3,8,8.52905715167812,6.122610008823225,6.898462447375408,7.675791160749902,7.4868962656093725,8.616530948111494,8.735465807341374,6.865331110523308,55,126,4,5,Yes,Python,Database,Data Science,Remote,14.417311666647983,2
24,Student23,Surname23,Female,IT,4EK1,8,6.052377826353334,7.030731554044855,7.488668095350054,9.004712191233672,7.56983274491792,9.55651169576004,8.126288610746926,7.770309383731261,71,218,15,7,Yes,AI,Cloud,AI,Remote,7.337583941982185,3
25,Student24,Surname24,Female,CSE,4EK1,8,8.654149488066842,7.850491826957265,7.7283075317767835,6.284030658133021,9.01705989338809,8.315227018047763,6.1306362431379835,6.193450844195123,81,230,1,6,No,Web Dev,ML,Web Dev,Bangalore,12.332164515298713,2
26,Student25,Surname25,Female,IT,4EK3,8,6.712143867479005,9.473090021633523,7.757619958777809,6.320720056327614,9.673705728581634,8.52956529731355,7.902384767288034,9.2819503379211,90,159,7,6,Yes,Java,Database,AI,Ahmedabad,11.865616599218276,5
27,Student26,Surname26,Female,IT,4EK1,8,9.84428126987782,8.908676279065233,8.451758329978102,7.419085167343937,9.803714378010193,6.625906864014402,7.630992420010929,9.305363243800747,69,227,12,7,No,AI,DevOps,Cybersecurity,Ahmedabad,13.715575100457928,3
28,Student27,Surname27,Female,CSE,4EK2,8,6.594650911012452,8.970826084799924,9.77230335097883,9.7669028464757,8.308490344153283,7.895684880464411,6.64487524790049,8.352001853718514,50,192,10,3,No,Python,UI UX,Software Dev,Hyderabad,8.37532368249244,5
29,Student28,Surname28,Female,CSE,4EK1,8,7.6584964949080945,7.701973337792301,6.96277084733002,8.674290586891656,7.428484637202011,8.865588447832396,8.625638414002628,7.4124115557535575,96,155,5,3,Yes,Data Science,DevOps,Software Dev,Ahmedabad,9.365678246373507,2
30,Student29,Surname29,Female,CSE,4EK2,8,6.341398672314575,7.383739970187852,6.486005505203672,8.71467982669026,9.150196343435116,7.083770793265462,9.884603629473144,9.199133457783134,55,297,12,9,No,Java,Cloud,Data Science,Ahmedabad,7.989291762978889,4
31,Student30,Surname30,Male,ICT,4EK3,8,9.987497007383789,7.48415505193841,6.789881959439749,7.44767996335146,7.004005533049201,6.809016722098139,8.248755244258101,8.21874809915347,68,176,18,8,Yes,Web Dev,DevOps,Data Science,Remote,13.204523031596468,5
32,Student31,Surname31,Male,AI,4EK1,8,8.00878004132497,9.950598254944232,9.547699600837078,8.374643164834154,8.25629611533407,7.255307232897662,8.859013105775784,9.303729234200064,67,56,10,5,Yes,AI,DevOps,Web Dev,Pune,5.756427784345613,1
33,Student32,Surname32,Female,ICT,4EK3,8,8.381540069280176,6.16043676564993,8.583243250620825,6.0405247361109735,7.434313846099492,6.966002511971334,6.273801810264067,8.525835170332083,55,89,6,6,Yes,AI,DevOps,Web Dev,Ahmedabad,5.876508938909336,4
34,Student33,Surname33,Female,ICT,4EK1,8,6.26830590955371,9.468125984489795,7.14362715695664,8.544384185638169,8.626524294831505,6.859650548145583,7.670667983267979,9.13762189285119,94,205,12,1,No,Java,DevOps,Cybersecurity,Ahmedabad,7.471261242924957,4
35,Student34,Surname34,Female,IT,4EK2,8,8.999841881596712,8.314701634289573,9.26378775587447,9.653147790304947,6.961595651574028,7.699403371472348,6.4654339406579835,8.39425197287104,82,209,7,1,Yes,Python,Cloud,Data Science,Bangalore,5.764113985228214,2
36,Student35,Surname35,Male,CSE,4EK3,8,6.839622372382343,7.754461676758362,9.445479985453744,8.450293873379277,6.766371782939303,9.631354055534135,8.451183342146042,7.656564272862665,72,148,18,4,Yes,Web Dev,Database,Data Science,Hyderabad,9.73208203697905,2
37,Student36,Surname36,Female,AI,4EK1,8,9.592217157762855,8.901030641660546,9.386057354761112,9.49479437386538,9.67295634670175,8.028238586954874,9.753928632856619,9.83178343970455,72,192,2,2,Yes,Java,ML,Web Dev,Bangalore,4.613881277946028,3
38,Student37,Surname37,Male,IT,4EK2,8,6.820558561928029,7.946675765698812,9.675706134558219,8.895892221864376,6.407214731798147,6.751681523261292,8.647110929886555,8.164455299515378,75,289,10,7,No,Data Science,UI UX,Web Dev,Remote,6.842234632848664,3
39,Student38,Surname38,Male,ICT,4EK3,8,6.762750882654666,9.493692952326642,7.008964080693446,6.4822336656147606,8.023831630939727,6.307886677523497,6.307212193257686,8.420358074162154,62,277,15,2,Yes,Web Dev,ML,Web Dev,Pune,13.96133638170708,1
40,Student39,Surname39,Male,CSE,4EK3,8,6.14619867139238,9.602807456045035,9.020167714985114,9.609813229143366,6.883411131852036,8.7846245805517,7.418664819940331,6.881950557658997,56,134,12,2,No,AI,ML,Software Dev,Hyderabad,7.910705762301552,4
41,Student40,Surname40,Male,IT,4EK1,8,7.888267780439997,7.686883707493822,7.84215798909656,6.2657753774230995,6.15571985330267,7.531195057745551,8.202653517763405,8.502603157709107,64,247,17,5,No,Java,UI UX,AI,Bangalore,11.97880459792211,1
42,Student41,Surname41,Male,CSE,4EK1,8,8.259364533050466,7.107311188940207,9.367994211560246,8.135869890191055,6.144075273165706,9.287323786341437,7.612831024533008,8.286430597931776,93,114,4,4,Yes,AI,Cloud,AI,Ahmedabad,4.361546300478889,1
43,Student42,Surname42,Female,IT,4EK1,8,6.2628345577134095,8.369401314373448,8.913962708646453,6.568548495173831,6.700887088423309,8.63804307456308,9.33457604190069,6.7393535917881,76,181,7,8,No,AI,UI UX,Data Science,Ahmedabad,5.970774097701415,2
44,Student43,Surname43,Female,CSE,4EK2,8,9.102110466780042,9.649453382466763,9.105789785998898,6.046826442923616,9.467081418024001,9.184965802165474,9.258684018839958,6.238348389412575,75,60,9,4,No,AI,Cloud,Software Dev,Hyderabad,12.688147454404422,1
45,Student44,Surname44,Female,ICT,4EK1,8,7.813155338992111,6.842648756022666,8.624647350724286,7.688137040510556,7.129914975908107,7.087784157673795,8.447324080412885,8.417437278859085,82,157,19,6,Yes,Python,ML,Web Dev,Ahmedabad,12.155915235476328,1
46,Student45,Surname45,Female,AI,4EK3,8,8.09756107731032,8.491866334253931,6.709715077878828,7.180162830616625,9.801836682301182,8.769435689844233,7.4938317805308206,9.054769077401282,64,75,7,5,Yes,AI,Cloud,Data Science,Bangalore,7.633871023125854,5
47,Student46,Surname46,Female,ICT,4EK3,8,7.763050987752912,8.526240880370082,8.180107675587752,7.944001975190412,8.326489171956775,7.0562479387748755,7.021345495052977,8.093605483688034,85,238,2,2,Yes,Data Science,Database,Software Dev,Bangalore,14.452762824401692,3
48,Student47,Surname47,Male,AI,4EK1,8,7.603052243501304,8.932452089661124,9.938678958098032,8.308799546938204,7.746456759075064,9.756273917801167,6.423497272852517,6.907090501278583,94,214,6,8,No,Data Science,UI UX,Cybersecurity,Ahmedabad,13.927716190014545,3
49,Student48,Surname48,Female,CSE,4EK1,8,8.238561325232872,6.526270740509039,9.749552265988475,6.174956289235789,8.320355338677818,8.545497126133498,7.419590733946216,8.66608790677214,76,200,18,2,Yes,Web Dev,Database,Software Dev,Ahmedabad,14.547608989346879,4
50,Student49,Surname49,Female,IT,4EK3,8,6.62096098372285,8.863299858728354,6.172694943188047,6.4920131804949825,8.06679354090507,7.298047200701369,7.6526900688308785,6.320422906438409,54,270,6,9,No,AI,ML,Data Science,Remote,8.134976282253424,3
51,Student50,Surname50,Male,ICT,4EK2,8,6.7277125219810845,9.636130082662564,6.6592592629177485,8.234569585801701,9.0351050150293,7.078047449169091,8.703291700416294,7.767334819207818,51,134,13,9,No,AI,UI UX,AI,Pune,5.369683004228197,4
52,Student51,Surname51,Female,AI,4EK1,8,9.44714248405407,6.718732435480968,6.526915093818248,7.372669412690633,7.129984263891409,6.763706340286574,8.632639297190295,6.653467033593681,82,289,19,3,No,Java,ML,Web Dev,Hyderabad,10.519903669096092,5
53,Student52,Surname52,Male,ICT,4EK1,8,9.78446184853453,6.950173299695511,8.903919639941183,8.916693950197793,7.41220156640121,8.77856383557491,6.280432558565028,6.7378362042395334,65,286,2,4,No,Python,Database,Cybersecurity,Bangalore,11.217277899350382,3
54,Student53,Surname53,Female,AI,4EK3,8,7.493237265119012,9.885580376166558,9.27114131942778,8.609166594367759,9.576377210133003,6.874862451991709,7.5810372617246315,6.809175796632815,72,286,12,8,No,Web Dev,ML,Software Dev,Hyderabad,4.50530141340624,5
55,Student54,Surname54,Male,ICT,4EK1,8,7.0829786925742155,6.723907810837959,6.854045465242688,9.382417451959627,9.785826052601621,8.381213063709957,6.727115468869448,7.546828228175912,87,290,15,9,Yes,AI,UI UX,Data Science,Remote,12.43779641155087,3
56,Student55,Surname55,Female,AI,4EK2,8,8.575998172956062,9.417540373478317,8.023410771807317,8.7699713066769,9.570232909945897,7.058540107701429,6.627250821267223,6.2046008224815905,65,268,14,3,Yes,Java,UI UX,Data Science,Bangalore,3.2167226371195263,3
57,Student56,Surname56,Female,AI,4EK3,8,7.634936684392386,7.969111425792139,9.3628121120448,7.7197243095605925,7.677791975829255,8.647875779175475,9.309208598948985,7.591173763716393,63,280,6,5,No,Python,ML,Web Dev,Remote,8.7927406497214,5
58,Student57,Surname57,Male,CSE,4EK1,8,6.1015454226413794,6.988924297612709,8.931206179065002,8.69186648957773,9.121462012027527,9.259758914162157,6.16766086686503,8.046829788458803,78,217,18,8,No,Web Dev,UI UX,Data Science,Remote,6.972195113938739,1
59,Student58,Surname58,Male,AI,4EK3,8,6.624610389464761,9.482999605090045,8.168948821967394,7.101524697021674,7.905342933204395,9.112100972578613,7.676731503608485,7.9331771398653,75,254,5,3,Yes,Web Dev,UI UX,Data Science,Ahmedabad,11.88363671878901,1
60,Student59,Surname59,Male,CSE,4EK1,8,8.863888915389591,7.781221020010662,8.361390761835091,7.225253995112851,7.990159408584409,9.043405323723126,6.672814623066072,7.531136401612162,84,200,18,7,Yes,AI,ML,Web Dev,Hyderabad,6.753128729061791,1
61,Student60,Surname60,Male,AI,4EK1,8,8.635695767640605,8.059269415718761,8.03344218766512,9.155940639683173,6.818720436229135,6.750889622769009,9.517320862713897,9.35658643228301,64,172,3,8,No,Web Dev,Database,Cybersecurity,Hyderabad,12.921685353372393,1
62,Student61,Surname61,Male,IT,4EK1,8,6.108383970013934,7.436933477599062,7.190193805275282,7.785678065606328,8.364521213034067,6.353539787938075,8.22816205310014,6.5813067696820164,52,193,3,3,No,Java,UI UX,AI,Ahmedabad,10.139441865369726,3
63,Student62,Surname62,Male,IT,4EK2,8,6.887888647731797,8.37180340573971,8.260087971436064,9.19352136207341,6.744543591013391,8.795795313949542,6.925522545507392,8.022786975125495,72,271,10,2,Yes,Web Dev,UI UX,AI,Hyderabad,12.526720341144864,2
64,Student63,Surname63,Male,IT,4EK2,8,6.924299186352286,6.654095490340091,8.755541208200363,9.289689494673114,7.326258796268775,7.473388855177405,8.009709148665506,6.248165667826218,78,238,19,7,Yes,Data Science,UI UX,Software Dev,Ahmedabad,14.872087654075486,5
65,Student64,Surname64,Male,AI,4EK3,8,8.687570974394914,7.564326146607042,9.49329166344323,9.430249350645134,9.42012080647974,7.729384905613389,8.925945438812462,6.284622715511639,83,117,3,9,No,Java,UI UX,Cybersecurity,Bangalore,11.149900148922683,2
66,Student65,Surname65,Female,CSE,4EK1,8,6.078842151017456,9.87764928934115,8.545165415916992,9.66654094336483,6.828303236843421,6.124596371173564,9.832472035677736,8.295463398708385,82,153,12,1,Yes,Python,ML,Software Dev,Remote,14.81940379633973,2
67,Student66,Surname66,Female,CSE,4EK1,8,6.416434327938296,7.03253373080451,9.044486148172632,7.723940882053185,6.284633140693732,7.038305797100197,6.881784016981676,8.264073699551284,90,129,16,3,Yes,Python,Database,AI,Remote,3.346035923060464,4
68,Student67,Surname67,Male,AI,4EK2,8,9.199664341492758,8.626946658165169,6.640286539818292,7.275467273284555,6.276030370451265,6.134705615497856,9.54472708851738,9.512134051377828,90,208,17,5,No,AI,Database,Web Dev,Hyderabad,7.057679861805701,1
69,Student68,Surname68,Female,IT,4EK1,8,6.7141786482173345,7.30076025689878,7.84622989767916,8.328794986376455,9.763138082012432,9.51674309040499,9.73721645666996,8.231494702640292,72,102,7,3,No,AI,Cloud,Data Science,Pune,4.29423917474771,3
70,Student69,Surname69,Female,IT,4EK2,8,8.610984431407498,9.093892502746403,6.037326479308373,7.484689693750511,8.02768175184734,6.9735867328741215,9.665682178128264,9.839164081619401,56,155,13,1,No,Data Science,UI UX,AI,Remote,6.147659176613274,1
71,Student70,Surname70,Female,CSE,4EK1,8,6.952731124186906,6.523494642873399,6.986715458086492,8.404296667200931,7.637648287268073,8.229348678292032,8.541657427447639,6.194779393599719,52,202,2,7,Yes,Python,UI UX,Cybersecurity,Ahmedabad,13.066654789509293,1
72,Student71,Surname71,Female,IT,4EK3,8,6.397765571037381,9.87928418031418,8.90584686045202,8.822343450575298,9.243514324031674,6.155917282644522,8.519282617738831,6.392030739122964,81,93,4,7,No,Python,Cloud,AI,Pune,3.3878791839130837,2
73,Student72,Surname72,Male,ICT,4EK1,8,6.972688763997816,7.815158165534557,9.967239805397455,8.753620073968548,9.343303711642065,8.667389565222631,7.612842532735291,6.176263446281526,80,189,10,8,Yes,Python,Database,Cybersecurity,Pune,9.242195228788724,4
74,Student73,Surname73,Female,CSE,4EK1,8,8.889067727422637,6.944201853385856,6.396712398348864,7.498211548080485,7.328764132462418,7.292109383016376,9.009591529215152,6.74110740133416,67,139,7,5,No,Python,DevOps,Cybersecurity,Remote,9.805544490388476,1
75,Student74,Surname74,Male,IT,4EK2,8,9.422785872425143,6.29398698932005,7.605977263445153,6.667440806795011,8.774472229895181,9.591676747830663,8.125176073403727,8.165080443766712,92,150,17,5,No,Web Dev,DevOps,Cybersecurity,Remote,9.733813760063473,5
76,Student75,Surname75,Female,CSE,4EK1,8,9.320879458267967,6.6790316203501625,9.200283874796638,7.72211735384883,9.084491263407546,9.552472755736144,8.709752284913177,8.582288725709713,56,289,6,5,Yes,Java,Database,Software Dev,Remote,8.703564885879068,5
77,Student76,Surname76,Female,ICT,4EK1,8,7.58873411847382,8.07909579422407,6.816142538515596,6.570376576327635,8.618602747463818,7.3011624734469915,7.713831615395182,6.182340631794675,90,146,19,1,Yes,Java,UI UX,Web Dev,Ahmedabad,12.487235577237064,1
78,Student77,Surname77,Female,CSE,4EK2,8,8.672340546282584,7.348012705725145,8.220339797209146,9.560388140735233,6.6063802992003975,9.603843582761872,8.925985856172556,9.783883559382398,50,269,5,5,No,Data Science,DevOps,AI,Pune,4.602517074066614,2
79,Student78,Surname78,Male,CSE,4EK3,8,6.819937181663284,9.315533463530437,8.9322851841187,7.38350984295143,9.503532334068229,9.984630693995115,9.297886070418196,9.368661506601525,63,58,10,6,No,Web Dev,ML,Web Dev,Hyderabad,6.726924186609448,2
80,Student79,Surname79,Female,CSE,4EK3,8,7.172590921044053,7.723550094647224,8.463941801040717,6.617838988893295,8.156378210944034,9.301662656495793,6.5857450264112645,7.186449928628372,81,61,9,1,Yes,Python,ML,Data Science,Ahmedabad,10.388712641342073,3
81,Student80,Surname80,Male,CSE,4EK2,8,9.58534327408448,6.99485709035052,6.752098938461664,6.101791039623004,7.129889705480014,9.379485391020916,9.331718862296912,6.308750120905872,55,118,13,7,No,Python,Cloud,AI,Bangalore,11.291416395215471,4
82,Student81,Surname81,Female,ICT,4EK2,8,6.052007694042944,8.46857994641612,7.421538274742957,8.583289545145938,7.700912741750775,6.99603494443636,8.16118612716123,6.679548292876229,88,231,19,1,Yes,AI,Database,Web Dev,Remote,7.849781181324675,2
83,Student82,Surname82,Male,AI,4EK2,8,6.342034123417872,8.827108867541783,9.13516713794159,8.547609269818974,6.150284361595629,8.306809595431025,9.378663636360898,6.507777655019891,59,293,6,2,Yes,AI,Database,Web Dev,Pune,13.504455159926797,3
84,Student83,Surname83,Female,CSE,4EK2,8,6.831545020584109,6.668167631603799,8.216906056528067,7.362416666325167,6.51146720488967,6.269023655869471,7.725206825364058,6.493135117195788,56,231,4,2,No,Data Science,DevOps,Data Science,Ahmedabad,7.985920760350972,5
85,Student84,Surname84,Male,CSE,4EK2,8,6.106128815495278,6.670476865153271,6.020918454171651,6.2868475553906045,9.062187002063443,6.379671747286679,7.51616194153214,8.074246754662935,75,77,3,5,Yes,Python,UI UX,Cybersecurity,Bangalore,7.833313612179998,5
86,Student85,Surname85,Male,IT,4EK3,8,6.725741740359189,6.1466857077341714,9.043963040112375,7.638515579580928,6.000046539021465,9.995570448133162,9.66024293006889,6.983389769973601,83,105,3,7,Yes,Data Science,Database,AI,Ahmedabad,3.4344871378486195,5
87,Student86,Surname86,Female,CSE,4EK3,8,8.332166243878769,8.945608060262561,6.141245419760956,7.244869980253574,7.666263313929169,7.306556997703644,7.004677070193605,7.432558866116578,79,148,4,1,Yes,Web Dev,DevOps,AI,Ahmedabad,9.613696034336806,1
88,Student87,Surname87,Male,IT,4EK2,8,7.685698202369991,8.65521811048722,8.982935130924929,8.708482558940037,8.090040724342353,8.992735648195385,9.376849301144572,9.958021333537289,85,246,5,1,No,Java,DevOps,Data Science,Hyderabad,11.504170062142862,4
89,Student88,Surname88,Female,AI,4EK1,8,9.5706868443079,7.8985235029992555,6.809922240660949,8.423116997810762,6.218537680003889,9.226660212107266,7.936082290037616,8.73725699570138,70,275,8,1,Yes,Python,Database,Cybersecurity,Hyderabad,4.373257962202177,3
90,Student89,Surname89,Female,ICT,4EK2,8,9.269774246953764,9.376681795876788,9.832293920477522,7.45837491279016,9.89231265188933,9.432093084028917,8.05638177020504,9.795922668188005,66,159,16,6,No,Web Dev,DevOps,AI,Ahmedabad,6.66519319305445,4
91,Student90,Surname90,Female,ICT,4EK1,8,7.367269406791504,9.222680611800213,7.471763005208338,6.87157021701996,6.904501324998687,9.990513189608626,7.2338731259579365,6.570226220132462,82,275,3,2,No,Python,Cloud,AI,Bangalore,12.375083445394226,1
92,Student91,Surname91,Female,AI,4EK2,8,7.03769373372517,8.341417457587008,7.307726465352316,9.952143864622368,7.216794878545123,6.965985941027471,8.292168802476063,7.528557899330277,59,126,12,1,No,AI,Cloud,AI,Pune,7.391033224962905,3
93,Student92,Surname92,Female,ICT,4EK2,8,7.518769632669068,9.473085122053035,6.595552201329779,7.8160064847844595,7.21577004902011,6.161403307438799,7.300844785104845,8.218927213129417,96,152,8,6,Yes,Data Science,Database,Cybersecurity,Pune,5.8992295444804785,3
94,Student93,Surname93,Female,AI,4EK3,8,8.36117977005923,6.8233648401470735,7.222416861960859,8.753096943120948,6.921666648469399,7.644766071978344,6.157077656966609,6.307032247554952,91,155,13,2,Yes,AI,UI UX,Data Science,Remote,11.066407962781346,2
95,Student94,Surname94,Female,AI,4EK1,8,7.072254563291505,6.4476784775909115,9.506603047312803,6.562211870313443,6.005895288345245,6.520322679315788,7.087994421377424,6.0167497745118315,61,158,4,6,No,Java,Cloud,AI,Remote,5.361105332059868,4
96,Student95,Surname95,Female,AI,4EK1,8,8.496595631396536,7.078998446067958,9.985337350508988,7.942358798637591,8.917379176351986,6.089703556648221,6.025516173626363,8.68173733518767,65,161,14,8,No,AI,Cloud,Web Dev,Pune,13.747835034998122,4
97,Student96,Surname96,Female,ICT,4EK3,8,7.637646608764962,6.22834742435726,7.473238122027393,6.1101468794778615,9.867381999197141,7.441707308565944,9.913419148227426,8.567278067205741,90,107,14,2,Yes,Python,Database,Cybersecurity,Ahmedabad,4.267180752313692,2
98,Student97,Surname97,Female,IT,4EK3,8,8.208188723407922,8.124678112004128,7.79444252381817,8.0218204716418,6.897173933140181,9.134953004300947,9.86298883927899,7.643155239998447,81,127,13,9,No,AI,ML,Software Dev,Ahmedabad,11.478597627393924,5
99,Student98,Surname98,Female,AI,4EK3,8,7.744506116541267,9.746422769179846,8.888283752810949,9.85606962847081,8.65218876721369,8.264722764900284,7.58062118988922,7.9585763041281306,64,124,6,8,No,Python,DevOps,Data Science,Hyderabad,8.994584415436503,1
100,Student99,Surname99,Male,CSE,4EK3,8,7.17786303816767,6.157374162674039,9.544783121860299,7.536826851943201,8.96758530783486,7.251111956841417,8.913483417358584,7.661772002368359,76,91,17,1,Yes,Java,Cloud,Web Dev,Hyderabad,13.439154748763922,4
101,Student100,Surname100,Male,ICT,4EK1,8,9.793813227848627,6.488439656040107,8.372177336747136,6.155984050299646,9.3937015163621,8.61736802197088,7.3832243936417,6.096020179379556,77,215,4,7,No,AI,ML,AI,Remote,4.514341092314839,2
102,Student101,Surname101,Female,AI,4EK1,8,9.054423176639043,7.808796113133742,7.566102792711318,6.123823163677374,7.6905167880544365,6.928072721235242,8.684372628343905,7.341486424869849,66,117,8,6,Yes,Data Science,UI UX,Software Dev,Pune,11.134739021953054,3
103,Student102,Surname102,Female,AI,4EK2,8,6.56045270306581,9.73550007011162,7.650487363394495,7.551947039787478,7.211723622561717,6.05752578428834,9.221720172183916,6.70832902158916,95,230,17,6,Yes,Data Science,ML,Data Science,Ahmedabad,9.864655670176578,2
104,Student103,Surname103,Female,CSE,4EK2,8,9.47387190359165,7.264624419907002,8.782472585987227,6.640099745852776,7.301180536092124,9.05741354574571,9.787024978768963,6.393696756405475,99,82,3,6,No,Data Science,Database,Cybersecurity,Pune,8.761081706880557,5
